customer_id,customer_name,signup_date,country,segment,age_group
CUST100037,Aina Kaur,2025-02-01,Malaysia,Budget,45-54
CUST100038,Priya Binte Ismail,2025-03-03,Malaysia,Budget,25-34
CUST100039,Divya Yusof,2024-09-05,Singapore,Mainstream,25-34
CUST100040,Chen Wei Lee,2025-08-25,Singapore,Budget,35-44
CUST100041,Nur Aisyah Osman,2024-08-14,Singapore,Mainstream,25-34
CUST100042,Zhi Hao Yusof,2025-07-17,Malaysia,Budget,45-54
CUST100043,Hui Ling Rahman,2024-10-15,Malaysia,Mainstream,25-34
CUST100044,Xin Yi Osman,2025-02-10,Singapore,Mainstream,45-54
CUST100045,Farhan Osman,2026-04-23,Singapore,Premium,45-54
CUST100046,Haziq Wong,2025-04-16,Singapore,Budget,25-34
CUST100047,Suresh Rahman,2024-10-26,Malaysia,Budget,35-44
CUST100048,Siti Yusof,2026-04-27,Thailand,Mainstream,25-34
CUST100049,Zhi Hao Bin Abdullah,2024-11-24,Malaysia,Premium,25-34
CUST100050,Haziq Bin Abdullah,2026-05-14,Singapore,Mainstream,35-44
CUST100051,Haziq Tan,2024-11-01,Malaysia,Mainstream,25-34
CUST100052,Xin Yi Chua,2024-12-31,Thailand,Mainstream,45-54
CUST100053,Xin Yi Nair,2026-04-10,Indonesia,Mainstream,35-44
CUST100054,Mei Ling Yusof,2025-02-14,Indonesia,Premium,18-24
CUST100055,Kumar Chua,2026-05-05,Thailand,Premium,25-34
CUST100056,Divya Lee,2025-06-10,Malaysia,Mainstream,45-54
CUST100057,Ahmad Chong,2024-09-23,Thailand,Mainstream,25-34
CUST100058,Wei Ming Bin Abdullah,2026-03-01,Singapore,Premium,35-44
CUST100059,Siti Lim,2026-03-25,Indonesia,Budget,18-24
CUST100060,Farhan Yusof,2025-09-24,Thailand,Budget,55+
CUST100061,Aina Kaur,2025-11-02,Thailand,Premium,25-34
CUST100062,Suresh Chong,2026-06-24,Malaysia,Mainstream,35-44
CUST100063,Hui Ling Chua,2025-08-31,Indonesia,Budget,35-44
CUST100064,Divya Nair,2026-01-21,Singapore,Mainstream,25-34
CUST100065,Divya Chong,2026-04-30,Malaysia,Mainstream,35-44
CUST100066,Hui Ling Chong,2026-01-09,Malaysia,Mainstream,18-24
CUST100067,Xin Yi Rahman,2026-07-14,Malaysia,Mainstream,25-34
CUST100068,Zhi Hao Tan,2024-09-30,Indonesia,Budget,25-34
CUST100069,Priya Lee,2024-08-03,Singapore,Mainstream,35-44
CUST100070,Nabila Binte Ismail,2025-11-03,Singapore,Budget,45-54
CUST100071,Kumar Lee,2024-10-28,Singapore,Premium,18-24
CUST100072,Nabila Osman,2025-08-27,Indonesia,Budget,45-54
CUST100073,Wei Ming Binte Ismail,2024-10-01,Indonesia,Mainstream,45-54
CUST100074,Haziq Tan,2026-03-25,Indonesia,Mainstream,18-24
CUST100075,Suresh Rahman,2026-01-03,Singapore,Mainstream,18-24
CUST100076,Chen Wei Rahman,2025-02-04,Indonesia,Mainstream,25-34
CUST100077,Farhan Nair,2026-02-19,Indonesia,Mainstream,18-24
CUST100078,Arif Chong,2024-12-05,Singapore,Mainstream,45-54
CUST100079,Ahmad Chua,2025-09-22,Singapore,Budget,35-44
CUST100080,Nabila Nair,2025-10-08,Malaysia,Budget,25-34
CUST100081,Farhan Lee,2025-09-02,Malaysia,Mainstream,35-44
CUST100082,Farhan Osman,2024-12-24,Singapore,Budget,25-34
CUST100083,Priya Bin Abdullah,2026-07-25,Singapore,Mainstream,45-54
CUST100084,Priya Tan,2025-01-27,Singapore,Budget,35-44
CUST100085,Arif Lim,2025-01-07,Singapore,Mainstream,25-34
CUST100086,Xin Yi Yusof,2024-12-07,Singapore,Budget,35-44
CUST100087,Aina Lee,2024-08-01,Indonesia,Mainstream,25-34
CUST100088,Ravi Bin Abdullah,2025-01-04,Malaysia,Budget,55+
CUST100089,Chen Wei Kaur,2025-07-09,Malaysia,Mainstream,25-34
CUST100090,Chen Wei Bin Abdullah,2025-08-23,Indonesia,Budget,45-54
CUST100091,Mei Ling Yusof,2025-10-19,Malaysia,Mainstream,55+
CUST100092,Mei Ling Lee,2024-12-03,Singapore,Budget,35-44
CUST100093,Nur Aisyah Wong,2025-10-16,Singapore,Mainstream,35-44
CUST100094,Siti Rahman,2025-06-06,Singapore,Mainstream,35-44
CUST100095,Aina Nair,2026-05-20,Malaysia,Premium,18-24
CUST100096,Zhi Hao Wong,2025-12-10,Malaysia,Mainstream,55+
CUST100097,Nabila Lim,2026-01-16,Malaysia,Mainstream,25-34
CUST100098,Priya Lim,2025-09-15,Malaysia,Mainstream,45-54
CUST100099,Priya Goh,2025-07-28,Thailand,Budget,35-44
CUST100100,Jia Xin Muthu,2025-02-21,Singapore,Mainstream,18-24
CUST100101,Mei Ling Yusof,2025-09-17,Malaysia,Budget,25-34
CUST100102,Mei Ling Binte Ismail,2026-04-11,Malaysia,Mainstream,25-34
CUST100103,Xin Yi Goh,2025-06-27,Indonesia,Budget,25-34
CUST100104,Kumar Chua,2026-06-20,Indonesia,Budget,35-44
CUST100105,Kumar Yusof,2024-11-17,Indonesia,Mainstream,18-24
CUST100106,Xin Yi Lee,2025-01-13,Singapore,Mainstream,55+
CUST100107,Ravi Rahman,2026-02-15,Malaysia,Budget,25-34
CUST100108,Hui Ling Lim,2026-01-18,Indonesia,Mainstream,35-44
CUST100109,Farhan Muthu,2026-07-09,Malaysia,Mainstream,25-34
CUST100110,Arif Lee,2025-11-05,Thailand,Budget,18-24
CUST100111,Ravi Binte Ismail,2026-07-02,Malaysia,Budget,35-44
CUST100112,Ravi Rahman,2024-09-14,Malaysia,Premium,25-34
CUST100113,Haziq Chong,2026-04-23,Malaysia,Premium,35-44
CUST100114,Ahmad Bin Abdullah,2025-04-04,Malaysia,Budget,35-44
CUST100115,Mei Ling Osman,2025-06-08,Indonesia,Mainstream,25-34
CUST100116,Wei Ming Chua,2026-02-07,Singapore,Budget,25-34
CUST100117,Mei Ling Yusof,2024-12-17,Malaysia,Premium,25-34
CUST100118,Aina Lee,2026-05-11,Malaysia,Budget,25-34
CUST100119,Priya Nair,2024-10-20,Thailand,Budget,45-54
CUST100120,Arif Chong,2025-02-04,Malaysia,Budget,18-24
CUST100121,Hui Ling Nair,2025-04-22,Thailand,Mainstream,25-34
CUST100122,Zhi Hao Lim,2024-10-25,Thailand,Budget,35-44
CUST100123,Xin Yi Lee,2025-10-08,Singapore,Mainstream,35-44
CUST100124,Xin Yi Tan,2026-01-05,Thailand,Mainstream,55+
CUST100125,Nur Aisyah Kaur,2026-04-08,Thailand,Mainstream,45-54
CUST100126,Nur Aisyah Rahman,2024-09-23,Singapore,Mainstream,45-54
CUST100127,Aina Bin Abdullah,2025-10-09,Malaysia,Budget,35-44
CUST100128,Aina Lim,2024-12-01,Singapore,Budget,25-34
CUST100129,Nur Aisyah Chong,2025-11-29,Malaysia,Budget,18-24
CUST100130,Xin Yi Bin Abdullah,2024-08-31,Singapore,Mainstream,45-54
CUST100131,Kumar Muthu,2024-11-01,Indonesia,Budget,25-34
CUST100132,Nabila Chong,2025-12-17,Malaysia,Mainstream,25-34
CUST100133,Farhan Wong,2025-08-08,Malaysia,Mainstream,35-44
CUST100134,Zhi Hao Chong,2024-12-27,Singapore,Mainstream,45-54
CUST100135,Kumar Tan,2026-02-14,Indonesia,Mainstream,35-44
CUST100136,Nur Aisyah Goh,2026-07-12,Malaysia,Budget,18-24
CUST100137,Farhan Kaur,2025-12-31,Malaysia,Budget,55+
CUST100138,Mei Ling Chua,2025-05-24,Singapore,Mainstream,18-24
CUST100139,Hui Ling Lim,2026-04-21,Singapore,Budget,55+
CUST100140,Kumar Kaur,2025-11-28,Malaysia,Mainstream,25-34
CUST100141,Aina Kaur,2024-09-27,Thailand,Premium,55+
CUST100142,Farhan Goh,2026-06-05,Singapore,Budget,55+
CUST100143,Nur Aisyah Chong,2026-06-23,Indonesia,Budget,25-34
CUST100144,Ahmad Kaur,2025-09-23,Singapore,Budget,45-54
CUST100145,Haziq Rahman,2026-07-20,Indonesia,Budget,18-24
CUST100146,Nabila Rahman,2026-07-09,Singapore,Premium,18-24
CUST100147,Ahmad Kaur,2026-03-18,Malaysia,Premium,25-34
CUST100148,Haziq Lee,2026-05-16,Malaysia,Budget,35-44
CUST100149,Kumar Tan,2024-12-15,Singapore,Premium,18-24
CUST100150,Jia Xin Osman,2026-05-01,Singapore,Budget,35-44
CUST100151,Wei Ming Muthu,2025-07-12,Malaysia,Premium,55+
CUST100152,Ahmad Bin Abdullah,2025-03-02,Malaysia,Mainstream,45-54
CUST100153,Priya Chong,2025-04-29,Thailand,Budget,25-34
CUST100154,Priya Lim,2025-04-08,Malaysia,Mainstream,35-44
CUST100155,Aina Yusof,2025-11-10,Thailand,Mainstream,25-34
CUST100156,Arif Rahman,2024-10-19,Malaysia,Budget,25-34
CUST100157,Siti Nair,2026-06-09,Singapore,Budget,55+
CUST100158,Ravi Yusof,2026-05-12,Singapore,Mainstream,55+
CUST100159,Chen Wei Chua,2024-11-12,Malaysia,Budget,25-34
CUST100160,Priya Lim,2026-06-10,Singapore,Budget,25-34
CUST100161,Zhi Hao Muthu,2026-03-11,Thailand,Budget,25-34
CUST100162,Nabila Binte Ismail,2026-03-25,Indonesia,Mainstream,25-34
CUST100163,Siti Tan,2026-07-05,Malaysia,Budget,18-24
CUST100164,Arif Chong,2026-05-05,Malaysia,Mainstream,18-24
CUST100165,Ahmad Wong,2025-06-06,Malaysia,Budget,25-34
CUST100166,Priya Osman,2025-04-03,Malaysia,Budget,25-34
CUST100167,Mei Ling Osman,2026-05-30,Singapore,Mainstream,45-54
CUST100168,Nabila Rahman,2024-09-10,Singapore,Budget,45-54
CUST100169,Siti Goh,2026-05-21,Singapore,Mainstream,35-44
CUST100170,Zhi Hao Rahman,2025-03-15,Singapore,Budget,25-34
CUST100171,Zhi Hao Kaur,2024-12-22,Indonesia,Mainstream,45-54
CUST100172,Chen Wei Binte Ismail,2025-07-14,Singapore,Budget,25-34
CUST100173,Nabila Goh,2025-08-05,Singapore,Mainstream,45-54
CUST100174,Nur Aisyah Bin Abdullah,2026-05-11,Thailand,Budget,18-24
CUST100175,Ahmad Tan,2026-02-03,Thailand,Premium,55+
CUST100176,Kumar Lee,2024-11-16,Malaysia,Budget,18-24
CUST100177,Nabila Goh,2025-11-17,Malaysia,Budget,45-54
CUST100178,Nur Aisyah Muthu,2026-07-04,Indonesia,Mainstream,18-24
CUST100179,Hui Ling Chua,2025-02-12,Singapore,Budget,45-54
CUST100180,Haziq Muthu,2025-03-17,Malaysia,Mainstream,35-44
CUST100181,Siti Muthu,2026-06-11,Singapore,Mainstream,18-24
CUST100182,Arif Kaur,2026-06-22,Malaysia,Mainstream,45-54
CUST100183,Mei Ling Rahman,2026-05-05,Thailand,Mainstream,18-24
CUST100184,Wei Ming Chua,2026-06-22,Indonesia,Premium,35-44
CUST100185,Priya Nair,2025-05-06,Thailand,Mainstream,25-34
CUST100186,Farhan Wong,2026-04-24,Indonesia,Budget,45-54
CUST100187,Suresh Lim,2025-05-12,Malaysia,Mainstream,45-54
CUST100188,Ravi Chua,2026-03-23,Indonesia,Budget,25-34
CUST100189,Jia Xin Binte Ismail,2024-08-19,Indonesia,Budget,45-54
CUST100190,Wei Ming Goh,2025-02-15,Malaysia,Budget,55+
CUST100191,Chen Wei Binte Ismail,2025-10-29,Singapore,Budget,35-44
CUST100192,Wei Ming Lim,2025-09-20,Malaysia,Budget,25-34
CUST100193,Hui Ling Osman,2026-06-12,Singapore,Budget,25-34
CUST100194,Suresh Bin Abdullah,2026-06-19,Malaysia,Mainstream,25-34
CUST100195,Ravi Bin Abdullah,2025-07-02,Singapore,Mainstream,25-34
CUST100196,Jia Xin Chong,2026-07-13,Malaysia,Premium,25-34
CUST100197,Ravi Muthu,2025-04-20,Singapore,Budget,45-54
CUST100198,Wei Ming Bin Abdullah,2025-10-23,Singapore,Budget,35-44
CUST100199,Kumar Rahman,2026-04-19,Malaysia,Mainstream,35-44
CUST100200,Nabila Chua,2025-07-03,Singapore,Budget,18-24
CUST100201,Priya Goh,2025-06-21,Thailand,Budget,18-24
CUST100202,Mei Ling Kaur,2025-01-31,Malaysia,Mainstream,45-54
CUST100203,Farhan Bin Abdullah,2026-03-07,Malaysia,Mainstream,35-44
CUST100204,Chen Wei Tan,2025-06-25,Singapore,Budget,55+
CUST100205,Nur Aisyah Binte Ismail,2024-11-20,Indonesia,Mainstream,35-44
CUST100206,Kumar Lim,2026-01-13,Malaysia,Mainstream,25-34
CUST100207,Wei Ming Yusof,2024-11-27,Malaysia,Premium,35-44
CUST100208,Nabila Lim,2025-02-16,Singapore,Budget,35-44
CUST100209,Kumar Kaur,2025-09-19,Indonesia,Mainstream,18-24
CUST100210,Chen Wei Yusof,2024-10-23,Thailand,Mainstream,35-44
CUST100211,Xin Yi Chong,2024-08-23,Malaysia,Budget,25-34
CUST100212,Farhan Bin Abdullah,2026-02-07,Singapore,Mainstream,25-34
CUST100213,Suresh Osman,2024-08-13,Singapore,Mainstream,18-24
CUST100214,Wei Ming Yusof,2026-07-28,Singapore,Budget,35-44
CUST100215,Hui Ling Chua,2026-04-26,Indonesia,Mainstream,35-44
CUST100216,Haziq Lim,2026-06-28,Thailand,Budget,25-34
CUST100217,Farhan Lim,2025-11-03,Thailand,Mainstream,45-54
CUST100218,Divya Muthu,2024-09-14,Indonesia,Budget,45-54
CUST100219,Hui Ling Wong,2025-05-17,Singapore,Mainstream,25-34
CUST100220,Nabila Rahman,2025-05-05,Thailand,Budget,18-24
CUST100221,Arif Kaur,2026-05-29,Singapore,Mainstream,25-34
CUST100222,Ahmad Nair,2025-07-18,Singapore,Mainstream,25-34
CUST100223,Priya Goh,2025-10-23,Indonesia,Mainstream,55+
CUST100224,Ahmad Rahman,2025-08-14,Singapore,Mainstream,45-54
CUST100225,Nabila Muthu,2026-01-20,Indonesia,Budget,18-24
CUST100226,Mei Ling Tan,2026-03-04,Thailand,Budget,35-44
CUST100227,Divya Chong,2024-09-03,Indonesia,Mainstream,25-34
CUST100228,Arif Nair,2025-06-17,Indonesia,Budget,18-24
CUST100229,Haziq Lim,2025-10-02,Malaysia,Mainstream,25-34
CUST100230,Ravi Bin Abdullah,2026-06-06,Singapore,Mainstream,18-24
CUST100231,Ravi Lee,2025-01-19,Indonesia,Premium,25-34
CUST100232,Wei Ming Goh,2025-08-19,Malaysia,Budget,25-34
CUST100233,Nur Aisyah Chong,2025-10-20,Thailand,Mainstream,25-34
CUST100234,Nur Aisyah Muthu,2025-03-30,Singapore,Budget,25-34
CUST100235,Ravi Osman,2026-04-24,Singapore,Premium,35-44
CUST100236,Farhan Kaur,2025-07-05,Malaysia,Mainstream,25-34
CUST100237,Zhi Hao Chua,2024-11-06,Indonesia,Mainstream,35-44
CUST100238,Haziq Tan,2025-08-25,Indonesia,Mainstream,25-34
CUST100239,Aina Lim,2026-07-29,Thailand,Budget,55+
CUST100240,Kumar Osman,2026-02-12,Singapore,Mainstream,18-24
CUST100241,Kumar Chua,2026-06-19,Malaysia,Mainstream,35-44
CUST100242,Mei Ling Binte Ismail,2025-07-29,Singapore,Budget,25-34
CUST100243,Priya Kaur,2025-11-05,Singapore,Premium,25-34
CUST100244,Xin Yi Nair,2026-04-24,Malaysia,Premium,35-44
CUST100245,Chen Wei Muthu,2025-03-15,Malaysia,Premium,45-54
CUST100246,Xin Yi Nair,2026-03-23,Malaysia,Mainstream,55+
CUST100247,Kumar Lee,2025-11-22,Malaysia,Budget,35-44
CUST100248,Arif Wong,2024-08-07,Malaysia,Mainstream,25-34
CUST100249,Chen Wei Lee,2026-06-11,Indonesia,Budget,45-54
CUST100250,Arif Nair,2026-01-30,Singapore,Mainstream,25-34
CUST100251,Nabila Muthu,2025-12-09,Singapore,Budget,35-44
CUST100252,Kumar Lee,2025-07-23,Indonesia,Premium,45-54
CUST100253,Ahmad Binte Ismail,2026-02-01,Indonesia,Budget,25-34
CUST100254,Kumar Binte Ismail,2024-08-20,Indonesia,Budget,35-44
CUST100255,Nabila Chua,2026-07-26,Singapore,Budget,18-24
CUST100256,Haziq Osman,2024-09-05,Malaysia,Mainstream,18-24
CUST100257,Nabila Lim,2025-07-04,Thailand,Budget,55+
CUST100258,Suresh Tan,2026-07-02,Malaysia,Budget,25-34
CUST100259,Mei Ling Chong,2026-05-05,Malaysia,Budget,25-34
CUST100260,Jia Xin Bin Abdullah,2026-05-15,Thailand,Budget,35-44
CUST100261,Nur Aisyah Osman,2026-01-01,Singapore,Premium,25-34
CUST100262,Priya Rahman,2025-11-28,Indonesia,Mainstream,18-24
CUST100263,Chen Wei Bin Abdullah,2025-04-17,Thailand,Budget,25-34
CUST100264,Chen Wei Muthu,2025-12-14,Singapore,Budget,35-44
CUST100265,Divya Bin Abdullah,2025-02-15,Indonesia,Budget,25-34
CUST100266,Nur Aisyah Rahman,2025-12-27,Malaysia,Budget,45-54
CUST100267,Divya Bin Abdullah,2026-01-18,Thailand,Budget,25-34
CUST100268,Mei Ling Lim,2026-01-09,Thailand,Budget,55+
CUST100269,Ahmad Tan,2025-12-01,Thailand,Budget,25-34
CUST100270,Ravi Tan,2024-11-25,Singapore,Budget,25-34
CUST100271,Nur Aisyah Bin Abdullah,2026-01-30,Indonesia,Mainstream,55+
CUST100272,Haziq Tan,2026-01-11,Thailand,Budget,45-54
CUST100273,Farhan Chong,2024-08-30,Malaysia,Mainstream,25-34
CUST100274,Ahmad Yusof,2025-04-08,Malaysia,Mainstream,25-34
CUST100275,Haziq Wong,2026-03-12,Singapore,Premium,45-54
CUST100276,Haziq Rahman,2024-11-03,Thailand,Budget,18-24
CUST100277,Nabila Kaur,2026-03-18,Singapore,Mainstream,25-34
CUST100278,Ravi Muthu,2026-04-02,Singapore,Premium,35-44
CUST100279,Xin Yi Osman,2025-09-08,Thailand,Premium,45-54
CUST100280,Ahmad Tan,2025-03-12,Thailand,Mainstream,35-44
CUST100281,Mei Ling Bin Abdullah,2026-03-13,Thailand,Budget,35-44
CUST100282,Suresh Binte Ismail,2025-01-26,Malaysia,Premium,55+
CUST100283,Siti Binte Ismail,2026-04-06,Singapore,Mainstream,18-24
CUST100284,Zhi Hao Chong,2025-01-05,Malaysia,Budget,45-54
CUST100285,Chen Wei Lee,2026-05-21,Singapore,Budget,18-24
CUST100286,Kumar Tan,2025-08-24,Thailand,Premium,35-44
CUST100287,Wei Ming Wong,2025-04-18,Malaysia,Budget,35-44
CUST100288,Chen Wei Kaur,2026-01-17,Malaysia,Mainstream,25-34
CUST100289,Suresh Lim,2025-05-09,Singapore,Budget,35-44
CUST100290,Hui Ling Osman,2025-03-14,Malaysia,Mainstream,45-54
CUST100291,Arif Tan,2025-04-11,Thailand,Budget,35-44
CUST100292,Farhan Muthu,2025-10-13,Indonesia,Mainstream,18-24
CUST100293,Aina Lim,2025-01-11,Singapore,Mainstream,18-24
CUST100294,Haziq Osman,2025-02-10,Singapore,Premium,35-44
CUST100295,Haziq Muthu,2025-12-03,Malaysia,Budget,35-44
CUST100296,Siti Goh,2025-02-09,Singapore,Budget,25-34
CUST100297,Priya Osman,2024-09-27,Thailand,Budget,25-34
CUST100298,Divya Chua,2024-12-10,Indonesia,Budget,35-44
CUST100299,Zhi Hao Nair,2025-02-09,Singapore,Premium,25-34
CUST100300,Zhi Hao Chua,2025-01-16,Indonesia,Budget,18-24
CUST100301,Ravi Bin Abdullah,2024-12-19,Malaysia,Budget,25-34
CUST100302,Haziq Chong,2025-12-30,Singapore,Mainstream,35-44
CUST100303,Priya Kaur,2025-02-18,Malaysia,Budget,55+
CUST100304,Nabila Osman,2026-03-06,Singapore,Budget,35-44
CUST100305,Haziq Lee,2025-11-10,Malaysia,Mainstream,25-34
CUST100306,Xin Yi Wong,2024-09-15,Indonesia,Budget,45-54
CUST100307,Aina Nair,2026-01-04,Thailand,Mainstream,25-34
CUST100308,Siti Binte Ismail,2024-11-21,Singapore,Mainstream,55+
CUST100309,Hui Ling Bin Abdullah,2025-09-24,Malaysia,Budget,25-34
CUST100310,Farhan Kaur,2026-02-26,Singapore,Mainstream,45-54
CUST100311,Nur Aisyah Lee,2026-05-20,Malaysia,Premium,45-54
CUST100312,Zhi Hao Binte Ismail,2025-06-24,Singapore,Budget,45-54
CUST100313,Priya Wong,2025-09-03,Malaysia,Mainstream,18-24
CUST100314,Ahmad Wong,2025-07-21,Singapore,Budget,45-54
CUST100315,Ravi Rahman,2026-06-28,Thailand,Mainstream,35-44
CUST100316,Farhan Wong,2026-01-15,Thailand,Mainstream,25-34
CUST100317,Nur Aisyah Yusof,2026-07-27,Singapore,Budget,35-44
CUST100318,Siti Rahman,2025-12-21,Indonesia,Mainstream,35-44
CUST100319,Xin Yi Goh,2024-09-18,Singapore,Budget,55+
CUST100320,Aina Muthu,2026-04-09,Indonesia,Mainstream,45-54
CUST100321,Suresh Kaur,2025-03-13,Singapore,Mainstream,25-34
CUST100322,Xin Yi Rahman,2026-07-25,Singapore,Budget,35-44
CUST100323,Mei Ling Chong,2025-06-14,Indonesia,Budget,25-34
CUST100324,Nabila Osman,2024-09-25,Malaysia,Premium,25-34
CUST100325,Mei Ling Nair,2025-11-22,Malaysia,Budget,45-54
CUST100326,Siti Osman,2026-03-08,Malaysia,Budget,35-44
CUST100327,Divya Kaur,2025-06-08,Singapore,Budget,45-54
CUST100328,Xin Yi Nair,2026-01-07,Singapore,Mainstream,35-44
CUST100329,Hui Ling Rahman,2024-10-17,Malaysia,Budget,25-34
CUST100330,Nur Aisyah Chua,2024-11-17,Malaysia,Mainstream,35-44
CUST100331,Wei Ming Binte Ismail,2025-04-09,Singapore,Mainstream,18-24
CUST100332,Divya Yusof,2025-04-19,Malaysia,Budget,55+
CUST100333,Ahmad Osman,2025-05-16,Malaysia,Mainstream,55+
CUST100334,Chen Wei Lim,2025-02-08,Indonesia,Budget,45-54
CUST100335,Nabila Nair,2025-08-28,Indonesia,Budget,45-54
CUST100336,Zhi Hao Lim,2024-08-21,Malaysia,Mainstream,35-44
CUST100337,Zhi Hao Yusof,2025-11-19,Malaysia,Budget,35-44
CUST100338,Divya Lim,2026-07-23,Malaysia,Premium,45-54
CUST100339,Ahmad Goh,2025-03-07,Singapore,Mainstream,25-34
CUST100340,Ravi Bin Abdullah,2025-04-02,Singapore,Budget,45-54
CUST100341,Nabila Goh,2024-08-12,Singapore,Premium,25-34
CUST100342,Nur Aisyah Osman,2025-10-14,Indonesia,Mainstream,45-54
CUST100343,Farhan Chong,2025-09-22,Singapore,Budget,35-44
CUST100344,Farhan Chua,2025-06-14,Malaysia,Mainstream,45-54
CUST100345,Nabila Chua,2025-10-16,Malaysia,Premium,35-44
CUST100346,Chen Wei Goh,2025-01-03,Malaysia,Budget,35-44
CUST100347,Hui Ling Binte Ismail,2025-09-20,Indonesia,Budget,55+
CUST100348,Ravi Chong,2025-01-03,Indonesia,Mainstream,25-34
CUST100349,Hui Ling Lim,2025-09-22,Singapore,Budget,25-34
CUST100350,Ahmad Nair,2026-02-15,Indonesia,Budget,18-24
CUST100351,Nur Aisyah Bin Abdullah,2024-08-05,Malaysia,Mainstream,35-44
CUST100352,Arif Chong,2025-07-10,Singapore,Premium,35-44
CUST100353,Wei Ming Chong,2025-03-01,Indonesia,Mainstream,35-44
CUST100354,Mei Ling Lee,2025-05-24,Indonesia,Budget,18-24
CUST100355,Aina Kaur,2025-11-09,Singapore,Budget,18-24
CUST100356,Ravi Chua,2024-08-19,Thailand,Budget,45-54
CUST100357,Chen Wei Chua,2025-10-31,Malaysia,Budget,35-44
CUST100358,Ahmad Kaur,2024-08-04,Malaysia,Mainstream,18-24
CUST100359,Siti Chong,2025-09-18,Singapore,Budget,18-24
CUST100360,Arif Muthu,2026-07-13,Singapore,Mainstream,25-34
CUST100361,Haziq Lim,2026-07-03,Malaysia,Mainstream,45-54
CUST100362,Xin Yi Lim,2024-08-18,Malaysia,Mainstream,35-44
CUST100363,Ravi Lim,2025-07-09,Malaysia,Premium,35-44
CUST100364,Mei Ling Nair,2025-10-20,Indonesia,Mainstream,35-44
CUST100365,Ravi Lee,2024-12-14,Singapore,Premium,45-54
CUST100366,Chen Wei Chua,2025-05-05,Indonesia,Mainstream,25-34
CUST100367,Siti Yusof,2025-04-03,Indonesia,Mainstream,25-34
CUST100368,Ravi Wong,2025-03-16,Indonesia,Budget,25-34
CUST100369,Ravi Muthu,2026-03-07,Indonesia,Budget,55+
CUST100370,Haziq Chua,2026-05-26,Thailand,Premium,35-44
CUST100371,Zhi Hao Rahman,2025-02-13,Singapore,Budget,35-44
CUST100372,Xin Yi Wong,2026-07-14,Indonesia,Premium,45-54
CUST100373,Ahmad Rahman,2025-02-19,Thailand,Budget,25-34
CUST100374,Priya Bin Abdullah,2026-04-26,Malaysia,Mainstream,25-34
CUST100375,Nabila Bin Abdullah,2026-01-19,Singapore,Budget,35-44
CUST100376,Hui Ling Goh,2025-02-28,Thailand,Premium,55+
