customer_id,customer_name,signup_date,country,segment,age_group,last_purchase_date,frequency,monetary_sgd,avg_basket_sgd,categories_purchased,recency_days,tenure_days,churned,recency_days_quartile,frequency_quartile,monetary_sgd_quartile,churn_probability,churn_risk_band
CUST100026,Jia Xin Kaur,2026-03-27,Indonesia,Budget,35-44,2026-06-05,8,1159.62,144.95,4,54,124,0.0,3,2,2,0.2928,Low
CUST100027,Mei Ling Tan,2025-04-28,Indonesia,Mainstream,35-44,2026-07-22,6,389.46,64.91,4,7,457,0.0,1,3,4,0.3339,Medium
CUST100028,Ahmad Bin Abdullah,2025-06-30,Singapore,Mainstream,45-54,2026-07-18,7,656.19,93.74,5,11,394,0.0,1,2,3,0.2299,Low
CUST100029,Ravi Yusof,2026-05-03,Singapore,Mainstream,35-44,2026-06-27,5,893.17,178.63,3,32,87,0.0,2,3,2,0.4962,Medium
CUST100030,Chen Wei Chua,2025-02-20,Singapore,Premium,55+,2026-05-24,15,1384.55,92.3,7,66,524,0.0,3,1,2,0.0451,Low
CUST100031,Jia Xin Goh,2026-06-17,Thailand,Mainstream,45-54,2026-06-22,5,972.57,194.51,4,37,42,0.0,2,3,2,0.4251,Medium
CUST100032,Farhan Rahman,2024-08-05,Malaysia,Budget,18-24,2026-03-19,2,232.72,116.36,2,132,723,1.0,4,4,4,0.8296,High
CUST100033,Chen Wei Wong,2026-04-06,Thailand,Budget,45-54,2026-05-02,6,691.06,115.18,4,88,114,0.0,4,3,3,0.414,Medium
CUST100034,Hui Ling Kaur,2025-09-07,Malaysia,Mainstream,35-44,2026-04-25,3,139.75,46.58,2,95,325,1.0,4,4,4,0.7713,High
CUST100035,Xin Yi Bin Abdullah,2024-12-05,Singapore,Budget,18-24,2026-03-25,4,138.29,34.57,3,126,601,1.0,4,4,4,0.6893,High
CUST100036,Mei Ling Lim,2025-07-19,Thailand,Premium,35-44,2026-07-23,12,2826.72,235.56,6,6,375,0.0,1,1,1,0.0889,Low
CUST100037,Aina Kaur,2025-02-01,Malaysia,Budget,45-54,2025-08-27,1,723.26,723.26,1,336,543,1.0,4,4,3,0.854,High
CUST100038,Priya Binte Ismail,2025-03-03,Malaysia,Budget,25-34,2026-01-14,3,233.46,77.82,2,196,513,1.0,4,4,4,0.7612,High
CUST100039,Divya Yusof,2024-09-05,Singapore,Mainstream,25-34,2026-06-03,5,788.18,157.64,4,56,692,0.0,3,3,3,0.4417,Medium
CUST100040,Chen Wei Lee,2025-08-25,Singapore,Budget,35-44,2026-06-29,7,974.58,139.23,5,30,338,0.0,2,2,2,0.2821,Low
CUST100041,Nur Aisyah Osman,2024-08-14,Singapore,Mainstream,25-34,2026-07-27,7,2871.93,410.28,4,2,714,0.0,1,2,1,0.3542,Medium
CUST100042,Zhi Hao Yusof,2025-07-17,Malaysia,Budget,45-54,2026-06-05,5,467.76,93.55,5,54,377,0.0,3,3,3,0.4287,Medium
CUST100043,Hui Ling Rahman,2024-10-15,Malaysia,Mainstream,25-34,2026-07-16,8,1402.51,175.31,5,13,652,0.0,1,2,2,0.1902,Low
CUST100044,Xin Yi Osman,2025-02-10,Singapore,Mainstream,45-54,2026-07-23,13,3948.74,303.75,5,6,534,0.0,1,1,1,0.1506,Low
CUST100045,Farhan Osman,2026-04-23,Singapore,Premium,45-54,2026-06-27,9,1715.09,190.57,5,32,97,0.0,2,2,1,0.1749,Low
CUST100046,Haziq Wong,2025-04-16,Singapore,Budget,25-34,2026-04-09,4,671.41,167.85,4,111,469,1.0,4,4,3,0.604,Medium
CUST100047,Suresh Rahman,2024-10-26,Malaysia,Budget,35-44,2026-04-23,5,806.23,161.25,5,97,641,1.0,4,3,3,0.4642,Medium
CUST100048,Siti Yusof,2026-04-27,Thailand,Mainstream,25-34,2026-05-07,8,893.44,111.68,4,83,93,0.0,4,2,2,0.2397,Low
CUST100049,Zhi Hao Bin Abdullah,2024-11-24,Malaysia,Premium,25-34,2026-03-31,7,532.72,76.1,5,120,612,1.0,4,2,3,0.1597,Low
CUST100050,Haziq Bin Abdullah,2026-05-14,Singapore,Mainstream,35-44,2026-06-26,13,1253.27,96.41,7,33,76,0.0,2,1,2,0.1166,Low
CUST100051,Haziq Tan,2024-11-01,Malaysia,Mainstream,25-34,2026-07-27,8,633.76,79.22,5,2,635,0.0,1,2,3,0.1776,Low
CUST100052,Xin Yi Chua,2024-12-31,Thailand,Mainstream,45-54,2026-07-13,6,1263.25,210.54,5,16,575,0.0,1,3,2,0.428,Medium
CUST100053,Xin Yi Nair,2026-04-10,Indonesia,Mainstream,35-44,2026-07-14,9,830.85,92.32,5,15,110,0.0,1,2,3,0.2407,Low
CUST100054,Mei Ling Yusof,2025-02-14,Indonesia,Premium,18-24,2026-07-01,7,515.91,73.7,4,28,530,0.0,2,2,3,0.2147,Low
CUST100055,Kumar Chua,2026-05-05,Thailand,Premium,25-34,2026-07-21,10,808.25,80.82,4,8,85,0.0,1,1,3,0.182,Low
CUST100056,Divya Lee,2025-06-10,Malaysia,Mainstream,45-54,2026-04-22,9,783.74,87.08,4,98,414,1.0,4,2,3,0.2488,Low
CUST100057,Ahmad Chong,2024-09-23,Thailand,Mainstream,25-34,2026-06-30,9,1887.41,209.71,6,29,674,0.0,2,2,1,0.1602,Low
CUST100058,Wei Ming Bin Abdullah,2026-03-01,Singapore,Premium,35-44,2026-06-28,15,2474.82,164.99,6,31,150,0.0,2,1,1,0.0305,Low
CUST100059,Siti Lim,2026-03-25,Indonesia,Budget,18-24,2026-07-09,8,768.72,96.09,5,20,126,0.0,2,2,3,0.2212,Low
CUST100060,Farhan Yusof,2025-09-24,Thailand,Budget,55+,2026-05-24,4,138.78,34.69,3,66,308,0.0,3,4,4,0.6495,Medium
CUST100061,Aina Kaur,2025-11-02,Thailand,Premium,25-34,2026-07-20,12,2592.88,216.07,7,9,269,0.0,1,1,1,0.0876,Low
CUST100062,Suresh Chong,2026-06-24,Malaysia,Mainstream,35-44,2026-07-18,7,1261.19,180.17,6,11,35,0.0,1,2,2,0.2663,Low
CUST100063,Hui Ling Chua,2025-08-31,Indonesia,Budget,35-44,2026-06-25,5,932.02,186.4,5,34,332,0.0,2,3,2,0.4082,Medium
CUST100064,Divya Nair,2026-01-21,Singapore,Mainstream,25-34,2026-05-17,6,506.22,84.37,4,73,189,0.0,3,3,3,0.4258,Medium
CUST100065,Divya Chong,2026-04-30,Malaysia,Mainstream,35-44,2026-07-17,9,1810.53,201.17,4,12,90,0.0,1,2,1,0.1639,Low
CUST100066,Hui Ling Chong,2026-01-09,Malaysia,Mainstream,18-24,2026-06-01,8,1294.58,161.82,5,58,201,0.0,3,2,2,0.1711,Low
CUST100067,Xin Yi Rahman,2026-07-14,Malaysia,Mainstream,25-34,2026-07-19,8,1100.8,137.6,6,10,15,0.0,1,2,2,0.2248,Low
CUST100068,Zhi Hao Tan,2024-09-30,Indonesia,Budget,25-34,2026-03-11,2,247.51,123.76,2,140,667,1.0,4,4,4,0.8536,High
CUST100069,Priya Lee,2024-08-03,Singapore,Mainstream,35-44,2026-04-20,4,1591.86,397.96,3,100,725,1.0,4,4,1,0.7263,High
CUST100070,Nabila Binte Ismail,2025-11-03,Singapore,Budget,45-54,2026-05-17,5,542.45,108.49,4,73,268,0.0,3,3,3,0.4015,Medium
CUST100071,Kumar Lee,2024-10-28,Singapore,Premium,18-24,2026-06-12,7,390.57,55.8,5,47,639,0.0,3,2,4,0.2261,Low
CUST100072,Nabila Osman,2025-08-27,Indonesia,Budget,45-54,2026-02-24,6,540.02,90.0,5,155,336,1.0,4,3,3,0.3736,Medium
CUST100073,Wei Ming Binte Ismail,2024-10-01,Indonesia,Mainstream,45-54,2026-07-25,11,958.98,87.18,5,4,666,0.0,1,1,2,0.1162,Low
CUST100074,Haziq Tan,2026-03-25,Indonesia,Mainstream,18-24,2026-07-15,9,1815.81,201.76,5,14,126,0.0,1,2,1,0.1677,Low
CUST100075,Suresh Rahman,2026-01-03,Singapore,Mainstream,18-24,2026-05-17,9,2626.76,291.86,5,73,207,0.0,3,2,1,0.2205,Low
CUST100076,Chen Wei Rahman,2025-02-04,Indonesia,Mainstream,25-34,2026-06-30,6,517.94,86.32,5,29,540,0.0,2,3,3,0.2961,Low
CUST100077,Farhan Nair,2026-02-19,Indonesia,Mainstream,18-24,2025-12-22,3,178.02,59.34,2,219,160,1.0,4,4,4,0.7195,High
CUST100078,Arif Chong,2024-12-05,Singapore,Mainstream,45-54,2026-06-17,7,959.23,137.03,6,42,601,0.0,3,2,2,0.1746,Low
CUST100079,Ahmad Chua,2025-09-22,Singapore,Budget,35-44,2026-06-11,4,498.87,124.72,4,48,310,0.0,3,4,3,0.5451,Medium
CUST100080,Nabila Nair,2025-10-08,Malaysia,Budget,25-34,2026-06-09,4,403.54,100.88,2,50,294,0.0,3,4,4,0.6667,High
CUST100081,Farhan Lee,2025-09-02,Malaysia,Mainstream,35-44,2026-04-13,4,1879.53,469.88,2,107,330,1.0,4,4,1,0.701,High
CUST100082,Farhan Osman,2024-12-24,Singapore,Budget,25-34,2026-06-23,4,586.53,146.63,3,36,582,0.0,2,4,3,0.662,High
CUST100083,Priya Bin Abdullah,2026-07-25,Singapore,Mainstream,45-54,2026-07-20,8,1203.26,150.41,6,9,4,0.0,1,2,2,0.2093,Low
CUST100084,Priya Tan,2025-01-27,Singapore,Budget,35-44,2026-05-25,4,597.16,149.29,3,65,548,0.0,3,4,3,0.6676,High
CUST100085,Arif Lim,2025-01-07,Singapore,Mainstream,25-34,2026-07-26,9,1182.39,131.38,6,3,568,0.0,1,2,2,0.2297,Low
CUST100086,Xin Yi Yusof,2024-12-07,Singapore,Budget,35-44,2025-11-10,1,96.0,96.0,1,261,599,1.0,4,4,4,0.8592,High
CUST100087,Aina Lee,2024-08-01,Indonesia,Mainstream,25-34,2026-06-30,10,1702.31,170.23,5,29,727,0.0,2,1,1,0.2189,Low
CUST100088,Ravi Bin Abdullah,2025-01-04,Malaysia,Budget,55+,2026-05-28,4,972.67,243.17,3,62,571,0.0,3,4,2,0.6519,Medium
CUST100089,Chen Wei Kaur,2025-07-09,Malaysia,Mainstream,25-34,2026-06-26,7,571.57,81.65,4,33,385,0.0,2,2,3,0.2404,Low
CUST100090,Chen Wei Bin Abdullah,2025-08-23,Indonesia,Budget,45-54,2026-06-09,4,630.95,157.74,4,50,340,0.0,3,4,3,0.5074,Medium
CUST100091,Mei Ling Yusof,2025-10-19,Malaysia,Mainstream,55+,2026-06-27,11,1788.92,162.63,6,32,283,0.0,2,1,1,0.0857,Low
CUST100092,Mei Ling Lee,2024-12-03,Singapore,Budget,35-44,2026-07-12,6,732.39,122.06,3,17,603,0.0,2,3,3,0.5239,Medium
CUST100093,Nur Aisyah Wong,2025-10-16,Singapore,Mainstream,35-44,2026-03-25,9,921.61,102.4,5,126,286,1.0,4,2,2,0.2417,Low
CUST100094,Siti Rahman,2025-06-06,Singapore,Mainstream,35-44,2026-04-18,7,755.98,108.0,6,102,418,1.0,4,2,3,0.2873,Low
CUST100095,Aina Nair,2026-05-20,Malaysia,Premium,18-24,2026-07-02,9,1597.92,177.55,6,27,70,0.0,2,2,1,0.1389,Low
CUST100096,Zhi Hao Wong,2025-12-10,Malaysia,Mainstream,55+,2025-12-20,3,421.87,140.62,3,221,231,1.0,4,4,4,0.7878,High
CUST100097,Nabila Lim,2026-01-16,Malaysia,Mainstream,25-34,2026-07-28,5,332.18,66.44,4,1,194,0.0,1,3,4,0.4716,Medium
CUST100098,Priya Lim,2025-09-15,Malaysia,Mainstream,45-54,2026-05-30,6,1066.53,177.76,4,60,317,0.0,3,3,2,0.4036,Medium
CUST100099,Priya Goh,2025-07-28,Thailand,Budget,35-44,2026-07-01,8,904.03,113.0,6,28,366,0.0,2,2,2,0.2272,Low
CUST100100,Jia Xin Muthu,2025-02-21,Singapore,Mainstream,18-24,2026-05-09,5,677.43,135.49,4,81,523,0.0,3,3,3,0.4351,Medium
CUST100101,Mei Ling Yusof,2025-09-17,Malaysia,Budget,25-34,2026-07-04,9,990.99,110.11,5,25,315,0.0,2,2,2,0.2199,Low
CUST100102,Mei Ling Binte Ismail,2026-04-11,Malaysia,Mainstream,25-34,2026-06-24,13,802.1,61.7,6,35,109,0.0,2,1,3,0.1912,Low
CUST100103,Xin Yi Goh,2025-06-27,Indonesia,Budget,25-34,2026-03-07,2,219.72,109.86,1,144,397,1.0,4,4,4,0.858,High
CUST100104,Kumar Chua,2026-06-20,Indonesia,Budget,35-44,2026-06-03,6,2166.86,361.14,3,56,39,0.0,3,3,1,0.4955,Medium
CUST100105,Kumar Yusof,2024-11-17,Indonesia,Mainstream,18-24,2026-04-07,3,476.56,158.85,3,113,619,1.0,4,4,3,0.7029,High
CUST100106,Xin Yi Lee,2025-01-13,Singapore,Mainstream,55+,2026-06-26,5,763.87,152.77,4,33,562,0.0,2,3,3,0.4429,Medium
CUST100107,Ravi Rahman,2026-02-15,Malaysia,Budget,25-34,2026-07-17,2,196.39,98.2,2,12,164,0.0,1,4,4,0.7928,High
CUST100108,Hui Ling Lim,2026-01-18,Indonesia,Mainstream,35-44,2026-07-14,8,1513.98,189.25,4,15,192,0.0,1,2,1,0.2156,Low
CUST100109,Farhan Muthu,2026-07-09,Malaysia,Mainstream,25-34,2026-06-13,8,1785.38,223.17,5,46,20,0.0,3,2,1,0.1676,Low
CUST100110,Arif Lee,2025-11-05,Thailand,Budget,18-24,2026-06-22,1,108.09,108.09,1,37,266,0.0,2,4,4,0.8377,High
CUST100111,Ravi Binte Ismail,2026-07-02,Malaysia,Budget,35-44,2026-04-27,7,1295.07,185.01,4,93,27,1.0,4,2,2,0.4026,Medium
CUST100112,Ravi Rahman,2024-09-14,Malaysia,Premium,25-34,2026-07-09,11,1117.69,101.61,6,20,683,0.0,2,1,2,0.0987,Low
CUST100113,Haziq Chong,2026-04-23,Malaysia,Premium,35-44,2026-07-03,14,2567.43,183.39,5,26,97,0.0,2,1,1,0.0355,Low
CUST100114,Ahmad Bin Abdullah,2025-04-04,Malaysia,Budget,35-44,2026-01-15,1,129.44,129.44,1,195,481,1.0,4,4,4,0.871,High
CUST100115,Mei Ling Osman,2025-06-08,Indonesia,Mainstream,25-34,2026-05-08,1,123.26,123.26,1,82,416,0.0,4,4,4,0.7904,High
CUST100116,Wei Ming Chua,2026-02-07,Singapore,Budget,25-34,2026-07-25,3,298.27,99.42,2,4,172,0.0,1,4,4,0.6674,High
CUST100117,Mei Ling Yusof,2024-12-17,Malaysia,Premium,25-34,2026-07-25,11,1304.37,118.58,7,4,589,0.0,1,1,2,0.1277,Low
CUST100118,Aina Lee,2026-05-11,Malaysia,Budget,25-34,2026-07-28,6,396.05,66.01,4,1,79,0.0,1,3,4,0.4202,Medium
CUST100119,Priya Nair,2024-10-20,Thailand,Budget,45-54,2026-07-22,5,389.98,78.0,5,7,647,0.0,1,3,4,0.4222,Medium
CUST100120,Arif Chong,2025-02-04,Malaysia,Budget,18-24,2026-06-25,5,266.42,53.28,3,34,540,0.0,2,3,4,0.5886,Medium
CUST100121,Hui Ling Nair,2025-04-22,Thailand,Mainstream,25-34,2026-07-05,9,1510.87,167.87,5,24,463,0.0,2,2,1,0.1898,Low
CUST100122,Zhi Hao Lim,2024-10-25,Thailand,Budget,35-44,2026-05-09,4,869.58,217.4,4,81,642,0.0,3,4,2,0.4962,Medium
CUST100123,Xin Yi Lee,2025-10-08,Singapore,Mainstream,35-44,2026-06-10,10,1507.97,150.8,6,49,294,0.0,3,1,1,0.1953,Low
CUST100124,Xin Yi Tan,2026-01-05,Thailand,Mainstream,55+,2026-07-24,7,612.05,87.44,4,5,205,0.0,1,2,3,0.241,Low
CUST100125,Nur Aisyah Kaur,2026-04-08,Thailand,Mainstream,45-54,2026-07-29,10,3037.43,303.74,7,0,112,0.0,1,1,1,0.1932,Low
CUST100126,Nur Aisyah Rahman,2024-09-23,Singapore,Mainstream,45-54,2026-07-24,11,1225.87,111.44,7,5,674,0.0,1,1,2,0.0972,Low
CUST100127,Aina Bin Abdullah,2025-10-09,Malaysia,Budget,35-44,2026-05-31,5,559.78,111.96,5,59,293,0.0,3,3,3,0.3889,Medium
CUST100128,Aina Lim,2024-12-01,Singapore,Budget,25-34,2026-07-08,5,1132.74,226.55,3,21,605,0.0,2,3,2,0.5725,Medium
CUST100129,Nur Aisyah Chong,2025-11-29,Malaysia,Budget,18-24,2026-04-12,5,291.19,58.24,3,108,242,1.0,4,3,4,0.6064,Medium
CUST100130,Xin Yi Bin Abdullah,2024-08-31,Singapore,Mainstream,45-54,2026-06-24,9,883.12,98.12,6,35,697,0.0,2,2,2,0.121,Low
CUST100131,Kumar Muthu,2024-11-01,Indonesia,Budget,25-34,2026-04-06,5,488.37,97.67,3,114,635,1.0,4,3,3,0.5654,Medium
CUST100132,Nabila Chong,2025-12-17,Malaysia,Mainstream,25-34,2026-07-22,14,868.27,62.02,6,7,224,0.0,1,1,2,0.1514,Low
CUST100133,Farhan Wong,2025-08-08,Malaysia,Mainstream,35-44,2026-07-29,3,2217.35,739.12,1,0,355,0.0,1,4,1,0.728,High
CUST100134,Zhi Hao Chong,2024-12-27,Singapore,Mainstream,45-54,2026-05-26,8,934.07,116.76,6,64,579,0.0,3,2,2,0.1534,Low
CUST100135,Kumar Tan,2026-02-14,Indonesia,Mainstream,35-44,2026-07-21,10,1021.49,102.15,4,8,165,0.0,1,1,2,0.2135,Low
CUST100136,Nur Aisyah Goh,2026-07-12,Malaysia,Budget,18-24,2026-06-08,3,232.46,77.49,3,51,17,0.0,3,4,4,0.6356,Medium
CUST100137,Farhan Kaur,2025-12-31,Malaysia,Budget,55+,2026-07-06,5,956.28,191.26,4,23,210,0.0,2,3,2,0.4641,Medium
CUST100138,Mei Ling Chua,2025-05-24,Singapore,Mainstream,18-24,2026-06-17,10,1314.65,131.46,6,42,431,0.0,3,1,2,0.1786,Low
CUST100139,Hui Ling Lim,2026-04-21,Singapore,Budget,55+,2026-06-12,7,806.01,115.14,5,47,99,0.0,3,2,3,0.2986,Low
CUST100140,Kumar Kaur,2025-11-28,Malaysia,Mainstream,25-34,2025-12-13,6,1182.28,197.05,5,228,243,1.0,4,3,2,0.5107,Medium
CUST100141,Aina Kaur,2024-09-27,Thailand,Premium,55+,2026-07-06,16,2822.27,176.39,6,23,670,0.0,2,1,1,0.0306,Low
CUST100142,Farhan Goh,2026-06-05,Singapore,Budget,55+,2026-07-03,9,1651.56,183.51,6,26,54,0.0,2,2,1,0.2528,Low
CUST100143,Nur Aisyah Chong,2026-06-23,Indonesia,Budget,25-34,2026-05-09,3,133.52,44.51,2,81,36,0.0,3,4,4,0.6573,Medium
CUST100144,Ahmad Kaur,2025-09-23,Singapore,Budget,45-54,2026-06-30,6,1103.71,183.95,4,29,309,0.0,2,3,2,0.4939,Medium
CUST100145,Haziq Rahman,2026-07-20,Indonesia,Budget,18-24,2026-04-24,5,444.24,88.85,5,96,9,1.0,4,3,4,0.3447,Medium
CUST100146,Nabila Rahman,2026-07-09,Singapore,Premium,18-24,2026-07-22,13,1944.76,149.6,6,7,20,0.0,1,1,1,0.1091,Low
CUST100147,Ahmad Kaur,2026-03-18,Malaysia,Premium,25-34,2026-05-09,7,1176.37,168.05,4,81,133,0.0,3,2,2,0.2661,Low
CUST100148,Haziq Lee,2026-05-16,Malaysia,Budget,35-44,2026-07-29,6,270.71,45.12,4,0,74,0.0,1,3,4,0.5185,Medium
CUST100149,Kumar Tan,2024-12-15,Singapore,Premium,18-24,2026-07-24,18,2981.63,165.65,6,5,591,0.0,1,1,1,0.0459,Low
CUST100150,Jia Xin Osman,2026-05-01,Singapore,Budget,35-44,2026-07-11,1,619.24,619.24,1,18,89,0.0,2,4,3,0.8124,High
CUST100151,Wei Ming Muthu,2025-07-12,Malaysia,Premium,55+,2026-07-03,18,2122.35,117.91,7,26,382,0.0,2,1,1,0.0466,Low
CUST100152,Ahmad Bin Abdullah,2025-03-02,Malaysia,Mainstream,45-54,2026-07-27,8,815.06,101.88,4,2,514,0.0,1,2,3,0.2135,Low
CUST100153,Priya Chong,2025-04-29,Thailand,Budget,25-34,2026-03-07,5,579.21,115.84,3,144,456,1.0,4,3,3,0.6056,Medium
CUST100154,Priya Lim,2025-04-08,Malaysia,Mainstream,35-44,2026-05-28,9,875.67,97.3,4,62,477,0.0,3,2,2,0.219,Low
CUST100155,Aina Yusof,2025-11-10,Thailand,Mainstream,25-34,2026-05-22,6,614.96,102.49,4,68,261,0.0,3,3,3,0.3842,Medium
CUST100156,Arif Rahman,2024-10-19,Malaysia,Budget,25-34,2026-04-28,3,203.0,67.67,2,92,648,1.0,4,4,4,0.7687,High
CUST100157,Siti Nair,2026-06-09,Singapore,Budget,55+,2026-07-12,3,540.69,180.23,2,17,50,0.0,2,4,3,0.6446,Medium
CUST100158,Ravi Yusof,2026-05-12,Singapore,Mainstream,55+,2026-06-03,5,1164.91,232.98,4,56,78,0.0,3,3,2,0.5565,Medium
CUST100159,Chen Wei Chua,2024-11-12,Malaysia,Budget,25-34,2026-07-05,6,663.97,110.66,4,24,624,0.0,2,3,3,0.3864,Medium
CUST100160,Priya Lim,2026-06-10,Singapore,Budget,25-34,2026-07-28,8,1747.38,218.42,5,1,49,0.0,1,2,1,0.2971,Low
CUST100161,Zhi Hao Muthu,2026-03-11,Thailand,Budget,25-34,2026-05-05,3,175.4,58.47,3,85,140,0.0,4,4,4,0.6483,Medium
CUST100162,Nabila Binte Ismail,2026-03-25,Indonesia,Mainstream,25-34,2025-12-13,3,358.87,119.62,3,228,126,1.0,4,4,4,0.7086,High
CUST100163,Siti Tan,2026-07-05,Malaysia,Budget,18-24,2026-07-23,8,1140.22,142.53,5,6,24,0.0,1,2,2,0.2265,Low
CUST100164,Arif Chong,2026-05-05,Malaysia,Mainstream,18-24,2026-07-23,4,738.92,184.73,3,6,85,0.0,1,4,3,0.642,Medium
CUST100165,Ahmad Wong,2025-06-06,Malaysia,Budget,25-34,2026-05-19,3,294.95,98.32,3,71,418,0.0,3,4,4,0.6837,High
CUST100166,Priya Osman,2025-04-03,Malaysia,Budget,25-34,2026-03-21,3,406.19,135.4,3,130,482,1.0,4,4,4,0.7434,High
CUST100167,Mei Ling Osman,2026-05-30,Singapore,Mainstream,45-54,2026-07-24,11,1465.56,133.23,7,5,60,0.0,1,1,1,0.1156,Low
CUST100168,Nabila Rahman,2024-09-10,Singapore,Budget,45-54,2026-07-23,5,553.38,110.68,4,6,687,0.0,1,3,3,0.3928,Medium
CUST100169,Siti Goh,2026-05-21,Singapore,Mainstream,35-44,2026-06-14,5,1664.46,332.89,4,45,69,0.0,3,3,1,0.573,Medium
CUST100170,Zhi Hao Rahman,2025-03-15,Singapore,Budget,25-34,2026-01-13,3,245.19,81.73,2,197,501,1.0,4,4,4,0.7214,High
CUST100171,Zhi Hao Kaur,2024-12-22,Indonesia,Mainstream,45-54,2026-06-14,9,1685.55,187.28,5,45,584,0.0,3,2,1,0.1508,Low
CUST100172,Chen Wei Binte Ismail,2025-07-14,Singapore,Budget,25-34,2026-06-05,5,1406.64,281.33,5,54,380,0.0,3,3,2,0.4243,Medium
CUST100173,Nabila Goh,2025-08-05,Singapore,Mainstream,45-54,2026-04-16,5,406.34,81.27,3,104,358,1.0,4,3,4,0.6173,Medium
CUST100174,Nur Aisyah Bin Abdullah,2026-05-11,Thailand,Budget,18-24,2026-05-31,3,289.36,96.45,2,59,79,0.0,3,4,4,0.7422,High
